week_index,train_start,train_end,trade_start,trade_end,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,selection_score,selection_net_pnl_quote,selection_net_pnl_pct,selection_max_drawdown_pct,selection_liquidated,selection_grid_moves,selection_trades,selection_open_positions
8,2026-03-21 03:15:00,2026-03-28 03:15:00,2026-03-28 03:15:00,2026-04-04 03:15:00,0.1,12,0.005,0.005,0.015,0.04,-0.0036754110879329096,-7.458487537496694,-0.0007458487537496694,-0.00195304155612216,False,11,1174,10
8,2026-03-21 03:15:00,2026-03-28 03:15:00,2026-03-28 03:15:00,2026-04-04 03:15:00,0.1,8,0.005,0.008,0.005,0.04,-0.0021479900936752926,-3.089367459060668,-0.0003089367459060668,-0.0012260355651794838,False,22,550,10
9,2026-03-28 03:15:00,2026-04-04 03:15:00,2026-04-04 03:15:00,2026-04-11 03:15:00,0.1,8,0.005,0.005,0.005,0.04,9.787720452155172e-05,6.726767627938898,0.0006726767627938898,-0.00038319970551489203,False,7,772,9
9,2026-03-28 03:15:00,2026-04-04 03:15:00,2026-04-04 03:15:00,2026-04-11 03:15:00,0.1,8,0.005,0.008,0.01,0.04,-0.00017194477050699885,6.500012299742593,0.0006500012299742593,-0.0005479640003208388,False,7,514,10
9,2026-03-28 03:15:00,2026-04-04 03:15:00,2026-04-04 03:15:00,2026-04-11 03:15:00,0.1,8,0.005,0.005,0.015,0.04,-1.2171196997807013e-05,6.286281087190218,0.0006286281087190218,-0.00042719953714455254,False,7,759,9
9,2026-03-28 03:15:00,2026-04-04 03:15:00,2026-04-04 03:15:00,2026-04-11 03:15:00,0.1,8,0.005,0.008,0.015,0.04,-3.649296385920431e-05,7.014094935288085,0.0007014094935288085,-0.0004919349715920085,False,7,525,10
9,2026-03-28 03:15:00,2026-04-04 03:15:00,2026-04-04 03:15:00,2026-04-11 03:15:00,0.1,8,0.005,0.005,0.01,0.04,-9.996469799544922e-05,6.045122900952265,0.0006045122900952265,-0.00046965132539378377,False,7,758,9
9,2026-03-28 03:15:00,2026-04-04 03:15:00,2026-04-04 03:15:00,2026-04-11 03:15:00,0.08,8,0.005,0.005,0.01,0.04,-0.0001395310411194076,7.404170334661103,0.0007404170334661102,-0.0005866320497236785,False,9,973,10
9,2026-03-28 03:15:00,2026-04-04 03:15:00,2026-04-04 03:15:00,2026-04-11 03:15:00,0.08,8,0.005,0.005,0.015,0.04,-4.2546576606854354e-05,7.937548724185035,0.0007937548724185035,-0.0005575342993502385,False,7,981,10
9,2026-03-28 03:15:00,2026-04-04 03:15:00,2026-04-04 03:15:00,2026-04-11 03:15:00,0.08,8,0.005,0.005,0.005,0.04,-0.000160677364693013,7.7521997566764185,0.0007752199756676419,-0.0006239315602404366,False,15,985,10
9,2026-03-28 03:15:00,2026-04-04 03:15:00,2026-04-04 03:15:00,2026-04-11 03:15:00,0.1,12,0.005,0.005,0.015,0.04,-0.0004430412960709138,8.347387002299001,0.0008347387002299001,-0.0008518533308672092,False,7,1157,10
